PLAYER,All-Star,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
Josh Jackson,0,MEM,23,7,5,2,17.6,6,2.1,5.9,36.6,0.4,2.6,16.7,1.3,1.9,69.2,0.7,3.1,3.9,0.9,1.4,0.9,0.1,1.4,13.5,0,0,3.6,108.7,99.3,9.4,5.7,0.6,10,3.8,15.4,9.8,16.7,40.2,44.9,17.8,107.57,5.7
Josh Magette,0,ORL,30,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25,0.1,0.3,50,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0,0,0.1,89.7,87.3,2.4,23.8,1,19.2,2.2,12.8,7.1,19.2,36.7,37.8,22.6,99.44,5.7
Josh Okogie,0,MIN,21,51,16,35,24.4,8.6,2.7,6.6,41.2,0.6,2.6,25,2.5,3.2,79.1,1.4,3,4.4,1.6,1.5,1.1,0.4,2.1,19.3,0,0,-2.1,105.6,109.8,-4.2,9.2,1.08,14.2,5,11.9,8.3,13.1,46.1,53.8,15.6,105.51,7.2
Josh Reaves,0,DAL,23,2,1,1,0.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,100,-100,0,0,0,0,0,0,0,0,0,33.3,129.29,-33.3
Josh Richardson,0,PHI,26,41,25,16,30.8,14.6,5.4,12.3,43.7,1.6,4.6,33.9,2.3,2.9,79.5,0.8,2.4,3.2,3.2,2.1,0.9,0.6,2.6,25.8,0,0,2.6,107.5,103.5,4,15.4,1.53,17.1,2.5,7.6,5,11.1,50.1,53.8,21.2,100.74,8.3
Jrue Holiday,0,NOP,30,46,19,27,34.6,19.3,7.6,17.2,44.1,2,5.8,34.7,2.1,3,70.6,1.2,3.5,4.7,6.5,2.9,1.7,0.9,2.1,39.4,8,0,-0.9,109.7,111.3,-1.5,28.4,2.25,23.5,3.3,9.3,6.3,10.5,49.9,52.1,25,103.67,11.4
Juan Toscano-Anderson,0,GSW,27,3,0,3,15.8,4,1.7,3.3,50,0.7,0.7,100,0,0,0,0,2.3,2.3,1,1,1,0,1,10.3,0,0,-10.7,99,129.7,-30.7,10,1,18.8,0,17.5,8,18.8,60,60,11.6,101.78,7.2
Juancho Hernangomez,0,MIN,24,37,21,16,13.8,4.1,1.4,3.9,36.6,0.6,2,28.4,0.7,1,65.8,0.8,2.2,3.1,0.7,0.5,0.2,0.2,1,9.4,1,0,0.4,107.9,105.7,2.2,6.7,1.37,12.6,5.2,15.6,10.2,9.2,43.8,47,14.2,103.22,6.1
Julius Randle,0,NYK,25,53,17,36,32.8,19.3,7.2,15.9,45.5,1,3.9,26.4,3.8,5.3,71.2,2.3,7.3,9.6,3.2,3.1,0.8,0.3,2.8,36.1,23,0,-3.6,104.8,110.5,-5.6,16.3,1.04,13.1,6.3,22.1,13.9,12.5,48.8,52.9,27,99.64,12.9
Justin Anderson,0,BKN,26,3,2,1,5.6,1,0.3,2,16.7,0,1,0,0.3,0.7,50,0,0.7,0.7,0,0,0,0.3,0.7,2.8,0,0,-2.7,69.2,94.6,-25.4,0,0,0,0,9.1,4.9,0,16.7,21.8,15.9,107.82,-4.7
Justin Holiday,0,IND,31,55,32,23,25.4,8.3,2.9,6.6,43.4,1.8,4.4,41.7,0.7,0.9,78.8,0.5,2.9,3.4,1.5,0.5,1,0.6,1.8,19,0,0,1.6,109.1,105.8,3.4,7.6,2.79,16.4,2,10.3,6.3,5.9,57.2,59.1,12.6,102,7.8
Justin Jackson,0,DAL,25,49,31,18,16.1,5.8,2.2,5.6,39.4,0.8,2.7,30.1,0.6,0.7,85.3,0.4,1.9,2.4,0.7,0.2,0.2,0.1,1.1,10.4,0,0,-0.1,111.9,112.2,-0.2,5.8,3,9.9,2.6,11.8,7,3.3,46.7,49.3,15.7,101.16,6
Justin James,0,SAC,23,31,11,20,7,2.7,1.1,2.5,42.3,0.3,0.8,34.6,0.3,0.7,47.6,0.2,0.8,1,0.5,0.3,0.2,0.3,0.5,5.9,0,0,-0.3,97.8,97.3,0.6,11.6,2,14.3,2.7,11,6.8,7.1,48.1,48.7,18.7,103.88,8
Justin Patton,0,DET,23,5,2,3,4.8,1.8,0.8,2,40,0.2,0.8,25,0,0,0,0.2,0.8,1,0.4,0.4,0,0,0.8,3.2,0,0,-3.2,94.8,126.8,-32,11.1,1,14.3,4.2,17.4,10.6,14.3,45,45,19.4,112.86,2.9
Justin Robinson,0,WAS,22,9,2,7,5.4,1.4,0.6,1.3,41.7,0.3,0.6,60,0,0,0,0.1,0.4,0.6,0.8,0.3,0,0.1,0.2,3.3,0,0,3.4,110.9,81,29.9,19.4,2.33,31.8,2.2,9.8,5.7,13.6,54.2,54.2,13.3,99.08,7.7
Justise Winslow,0,MEM,24,11,7,4,32,11.3,4.5,11.7,38.8,0.5,2.5,22.2,1.6,2.5,66.7,1.5,5.2,6.6,4,2.2,0.6,0.5,3.5,26.3,1,0,4.7,106.2,99.9,6.4,18.3,1.83,21,4.3,15.4,9.8,11.4,41.1,44,19,104.72,7.4
Juwan Morgan,0,UTA,23,13,10,3,4.1,1.2,0.5,1,53.8,0.1,0.3,25,0,0,0,0.4,0.7,1.1,0.1,0.2,0,0.1,0.5,2.6,0,0,1.7,107,87,20.1,2.2,0.33,5.9,9.1,14.3,11.9,17.6,57.7,57.7,11.9,103.27,8
KZ Okpala,0,MIA,21,5,2,3,5.2,1.4,0.6,1,60,0,0.2,0,0.2,0.4,50,0.2,0.8,1,0.2,0.2,0.4,0.2,0.4,4.5,0,0,-3,112.7,113.1,-0.4,33.1,2.46,20,3.2,12,7.5,8.1,54.6,59.5,31.8,104.28,16.4
Kadeem Allen,0,NYK,27,10,3,7,11.7,5,1.9,4.4,43.2,0.5,1.6,31.3,0.7,1.1,63.6,0.2,0.7,0.9,2.1,0.8,0.5,0.2,0.7,10.5,0,0,-2.1,106.3,116.4,-10.1,25.9,2.63,27.6,1.6,6.5,3.8,10.5,48.9,51.2,19.1,103.34,8.7
Karl-Anthony Towns,0,MIN,24,35,10,25,33.9,26.5,9,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24,0,-0.4,113.9,115.4,-1.5,21,1.39,15.7,7.5,24,15.5,11.3,60,64.2,27.8,104.69,16.8
Kawhi Leonard,1,LAC,29,42,31,11,32.5,27.2,9.5,20.5,46.3,2.1,5.7,37.4,6.1,6.8,89.5,1,6.5,7.5,5.3,3,1.8,0.7,1.9,48.5,12,1,7.6,115.3,104.3,11,27.3,1.73,16.7,3,18.2,10.7,9.7,51.5,57.9,33.4,101.38,19.2
Keita Bates-Diop,0,DEN,24,39,10,29,17.1,6.6,2.3,5.3,42.8,0.8,2.4,33,1.3,1.8,71,0.5,2.3,2.9,0.8,0.4,0.4,0.5,1,13.8,0,0,-4.1,98.7,109.4,-10.7,7.3,2.14,10.6,2.7,12.9,7.6,5,50.2,54.1,15.5,104.07,8.8
Kelan Martin,0,MIN,24,22,9,13,16.8,5.9,2.3,6,38.2,0.8,3.1,26.5,0.5,0.5,100,0.3,3,3.3,0.5,0.5,0.3,0.3,1.8,11.7,0,0,-0.6,98,99.9,-1.8,4.2,0.83,6.3,1.6,15.7,8.5,7.6,45,47.7,15.9,105.35,6.7
Keldon Johnson,0,SAS,20,4,1,3,3.1,1,0.5,1.3,40,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,1.9,0,0,2.3,100,73.1,26.9,0,0,0,0,27.3,13,0,40,40,16.7,105.65,10.1
Kelly Olynyk,0,MIA,29,48,32,16,19.4,7.5,2.5,5.6,45.3,1.3,3.2,38.7,1.3,1.4,87,0.7,3.9,4.6,1.5,1.1,0.6,0.3,2.4,17,3,0,0.6,109.1,108.5,0.6,11,1.37,16.8,3.5,18.9,11.4,12.3,56.6,60.9,15.5,101.52,9.6
Kelly Oubre Jr.,0,PHX,24,53,20,33,34.4,18.9,6.7,14.7,45.5,2,5.6,35.9,3.5,4.5,78.9,1.2,5.4,6.6,1.5,1.5,1.2,0.7,3.4,33.4,9,0,-1.2,110.3,111.1,-0.8,6.5,0.98,7.6,3.3,15.6,9.4,7.8,52.2,56.6,22.1,102.49,9.9
Kemba Walker,1,BOS,30,46,32,14,32.2,21.8,7.2,16.8,42.9,3.4,8.7,38.8,3.9,4.5,86.6,0.7,3.4,4.1,5,2.1,1,0.5,1.6,36.6,2,0,5.1,116.3,108.5,7.7,23.4,2.37,19.5,2,10.3,6.2,8.2,53,57.9,27.2,100.32,13.5
