PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Ignas Brazdeikis,2020,NYK,0,22,4,2,2,1.8,0.5,0,0.3,0,0,0,0,0.5,0.5,100,0.3,0.3,0.5,0.3,0.3,0,0,0,1.2,0,0,-1.5,75,105.9,-30.9,33.3,1,25,11.1,11.1,11.1,25,0,53.2,17.6,111.63,10,16
Iman Shumpert,2020,BKN,0,30,2,1,1,5.5,1,0.5,2,25,0,1.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,2.6,0,0,-0.5,91.3,95.7,-4.3,0,0,0,7.7,0,4.5,20,25,25,18.5,100.52,-1.1,23
Immanuel Quickley,2020,NYK,0,21,33,17,16,18.7,12.2,3.7,9.6,38.9,1.8,4.7,38.1,3,3.2,94.2,0.5,1.9,2.3,2.4,1,0.5,0.3,1.9,19.8,0,0,0.5,108.6,106.3,2.4,22.3,2.32,17,2.4,9.6,6.1,7.3,48.3,55.7,27.4,97.64,12.2,"1,253"
Isaac Bonga,2020,WAS,0,21,22,6,16,12.3,2.1,0.8,2,37.8,0.5,1.3,34.5,0.1,0.2,75,0.4,1.6,2,0.6,0.4,0.3,0.2,1.5,6.5,0,0,-0.8,97.8,101.2,-3.4,6.6,1.44,19.1,3.3,11.3,7.6,13.2,48.9,50.3,8.5,104.47,3.7,591
Isaac Okoro,2020,CLE,0,20,31,12,19,33.2,8.1,3,7.3,41.3,0.9,3,30.1,1.2,1.7,67.9,1,1.7,2.7,1.9,1.5,1.2,0.5,3.1,17.6,0,0,-6.2,104.9,113.5,-8.5,7.8,1.26,16.4,2.9,5.5,4.2,13,47.6,50.3,12.3,98.43,3.2,"2,106"
Isaiah Hartenstein,2020,DEN,0,22,26,13,13,9.3,3.8,1.5,2.9,51.3,0,0,0,0.8,1.3,58.8,1.4,1.4,2.8,0.5,0.7,0.4,0.6,2,10.1,0,0,1.7,109.8,100.2,9.6,8.1,0.74,11.4,14.7,14.9,14.8,15.4,51.3,53.9,18.4,101.7,7.3,512
Isaiah Joe,2020,PHI,0,21,20,10,10,12,4.3,1.5,4,36.7,1.2,3,38.3,0.3,0.3,100,0.3,0.9,1.2,0.8,0.3,0.4,0.2,1.1,8.2,0,0,-0.8,107.1,109.2,-2.1,8.5,3,14.9,2.2,7.3,4.6,5,51.3,53,14.6,102.2,5.8,508
Isaiah Roby,2020,OKC,0,23,30,12,18,21.3,8.6,3.3,6.3,52.1,0.6,1.8,34,1.4,1.9,72.4,1.5,3.9,5.4,1.8,1.3,0.8,0.6,2.7,20.6,2,0,-2.9,105,110.5,-5.5,12.5,1.33,17.2,7.2,17.2,12.3,13,56.8,59.9,17,102.17,9.8,"1,356"
Isaiah Stewart,2020,DET,0,19,34,10,24,18.4,5.4,2.4,4.3,55.5,0,0.1,20,0.6,0.9,68.8,2.4,3.4,5.8,0.7,0.9,0.5,1,2.6,17.1,3,0,1,108.6,105.4,3.2,5.9,0.8,11.3,11.9,17.8,14.8,14.1,55.8,57.8,12.7,99.67,8.9,"1,296"
Ish Smith,2020,WAS,0,32,19,6,13,20.6,5.2,2.3,6.1,37.9,0.3,1.1,25,0.3,0.8,40,0.5,2.9,3.5,4.7,1,0.8,0.2,0.9,18.5,0,0,1.2,109.3,106,3.3,30.3,4.74,38.8,2.2,13.3,7.6,8.2,40.1,40.4,14.7,105.8,9.4,859
Ivica Zubac,2020,LAC,0,24,38,24,14,19.8,8.2,3.2,4.8,65.9,0,0,0,1.9,2.3,82.6,2.4,4.6,7,1.1,1,0.4,0.8,2.5,20.7,7,0,0.4,112.8,111.9,0.9,8.2,1.1,14.1,12.2,22.3,17.4,12.8,65.9,70.7,14.5,100.93,12.7,"1,585"
JJ Redick,2020,NOP,0,36,31,14,17,18.6,8.7,2.8,6.9,40.7,1.6,4.5,36.4,1.5,1.5,95.7,0.1,1.6,1.7,1.3,0.8,0.3,0.1,1.2,12.9,0,0,-1,111,115.2,-4.3,9.5,1.6,13.6,0.5,8.6,4.5,8.5,52.6,57.5,18.2,102.61,7.1,"1,242"
