PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Matthew Dellavedova,2019,CLE,0,29,44,12,32,12.6,2.7,1,2.9,33.3,0.3,1.5,16.7,0.6,0.6,89.3,0.3,0.9,1.2,2.7,0.9,0.3,0,1.4,8.3,0,0,-0.3,102.5,103.5,-1,29.4,3.03,40,2.1,6.7,4.4,13.2,37.7,43.4,13.3,101.29,5.3,"1,170"
Maurice Harkless,2019,NYK,0,27,47,32,15,23,5.4,2.2,4.4,50.5,0.5,1.4,34.3,0.5,0.9,57.1,1,3,4,1,0.9,1,0.6,2.4,15.7,0,0,1,109,106.3,2.7,5.8,1.07,14.9,4.1,11.6,8,13.9,56.1,56.8,10.2,103.74,5.9,"2,326"
Max Strus,2019,CHI,0,24,2,0,2,3.1,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0.5,0,0.5,0,0,0,0,0.5,3.1,0,0,7.5,193.3,87.5,105.8,0,0,0,16.7,0,6.3,0,66.7,72.7,15.8,119.36,12.3,15
Maxi Kleber,2019,DAL,0,28,46,28,18,24.8,9.2,3.2,6.8,46.6,1.7,4.3,38.6,1.2,1.3,88.3,1.5,3.8,5.3,1,0.8,0.3,1,2.3,20,1,0,2.2,110.8,106.4,4.4,5.8,1.28,10.9,5.3,13.9,9.6,8.6,58.8,62,13.6,101.18,8.9,"2,402"
Melvin Frazier Jr.,2019,ORL,0,23,13,4,9,3.6,1.4,0.5,1.3,35.3,0.3,0.5,57.1,0.2,0.3,50,0.1,0.2,0.3,0.1,0.2,0.3,0.2,0.6,3.1,0,0,0.3,93.5,92.3,1.2,3.4,0.5,4.5,1.9,6,3.9,9.1,47.1,48,16.9,107.34,3.1,107
Meyers Leonard,2019,MIA,0,28,47,32,15,20.1,5.9,2.3,4.4,52.4,1,2.3,42.6,0.4,0.5,70.8,0.6,4.3,4.9,1.1,0.7,0.3,0.3,2,14.5,1,0,1.8,111.1,105.7,5.4,7.7,1.58,17.4,2.9,20.9,12.3,11,63.6,64.4,11.6,98.06,8.6,"1,917"
Mfiondu Kabengele,2019,LAC,0,22,10,8,2,4.4,2.9,1,2.2,45.5,0.6,1.2,50,0.3,0.3,100,0.1,0.7,0.8,0.1,0.1,0.1,0.1,0.6,4.5,0,0,-0.1,102.1,101,1.1,3.8,1,4,2.4,14.9,9.1,4,59.1,62.2,22.9,103.98,11.8,95
Michael Carter-Williams,2019,ORL,0,28,25,10,15,16.7,6.3,2.3,5.6,41.1,0.4,1.5,24.3,1.3,1.8,75,0.9,2.2,3.1,2.2,0.9,1,0.4,1.6,16.5,0,0,1.1,106.4,103.4,3,20.1,2.39,23.2,4.8,13.1,8.7,9.7,44.3,49.3,18.2,98.84,9.9,859
Michael Frazier II,2019,HOU,0,26,5,3,2,8,2.2,0.6,1.8,33.3,0.4,1.4,28.6,0.6,0.8,75,0.2,0.4,0.6,0.2,0,0.2,0,1.6,3.8,0,0,-0.2,108.9,105.3,3.6,3.4,0,8.3,2.4,5.6,3.9,0,44.4,51.1,11.1,109.89,0.3,90
Michael Kidd-Gilchrist,2019,DAL,0,26,12,4,8,13.3,4,1.5,4.4,34,0.4,1.4,29.4,0.6,0.8,77.8,0.8,2.2,2.9,0.8,0.6,0,0.3,1.5,8.9,0,0,1.8,104.4,95,9.4,10.4,1.43,13.5,4.9,14.7,9.7,9.5,38.7,42.1,17.1,95.94,5.4,315
