PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Wenyen Gabriel,2019,POR,0,23,11,2,9,5.6,1.7,0.5,1.5,35.3,0.1,0.7,12.5,0.5,0.9,60,0.4,0.5,0.9,0.3,0.5,0.3,0.2,0.6,4.1,0,0,-2.5,92,112.4,-20.4,7.1,0.6,10.3,5.9,14.6,9.2,17.2,38.2,44.4,16.5,107.78,3.3,138
Wes Iwundu,2019,ORL,0,25,34,15,19,18.2,5.1,1.6,4.4,37.6,0.5,1.5,32,1.4,1.6,82.1,0.6,2.1,2.6,1,0.5,0.6,0.3,1.5,12.1,0,0,0.2,101.5,101.8,-0.3,8.1,2.19,15.6,2.8,10.9,6.7,7.1,43,50.1,12.8,100.51,6.3,"1,304"
Wesley Matthews,2019,MIL,0,33,44,38,6,24.2,7.3,2.5,6,40.6,1.5,4.1,37,0.8,1.1,75.5,0.2,2.2,2.4,1.5,0.7,0.7,0.1,1.5,14.1,0,0,7,112.8,100.2,12.6,7.4,2.13,16.9,0.9,7.6,4.5,7.9,53.2,55.6,12.2,107.15,5.5,"2,377"
Will Barton,2019,DEN,0,29,45,31,14,33.4,14.8,5.6,12.8,44.1,1.7,4.6,35.9,1.8,2.4,75.9,1.5,5,6.4,3.7,1.4,1.1,0.5,2.1,31.6,7,0,4.5,111.7,105.8,6,15.7,2.62,19.4,4.3,14.4,9.3,7.4,50.6,53.3,19.4,97.58,10.9,"3,065"
Willie Cauley-Stein,2019,DAL,0,26,42,9,33,22.7,7.8,3.5,6.2,55.9,0,0,0,0.8,1.4,61.4,1.7,4.4,6.1,1.5,0.8,1.1,1.2,2.5,23.4,2,0,-3.1,101.5,108.1,-6.6,9.8,1.74,15.9,7.2,19.1,13,9.1,55.9,57.2,14.5,100.68,10.7,"1,998"
Willy Hernangomez,2019,CHA,0,26,19,2,17,8.7,5.3,2.1,3.5,58.2,0.3,0.7,35.7,0.9,1.8,52.9,1.1,2,3.1,0.4,0.7,0.2,0.3,0.9,10.4,1,0,-1.3,99.4,107.6,-8.2,9.3,0.57,7.6,10.7,24.2,16.7,13.3,61.9,61.6,24.3,100.56,15.4,347
Wilson Chandler,2019,BKN,0,33,18,6,12,20.5,6.8,2.6,5.6,46,1.1,3.3,32.2,0.7,0.8,85.7,0.3,4.2,4.4,1.2,1.1,0.6,0.3,2.2,15.6,0,0,-6,94.5,106.9,-12.4,9.5,1.05,14.3,1.3,18.2,9.9,13.6,55.5,57.9,14.2,104.4,9,799
Yogi Ferrell,2019,SAC,0,27,37,14,23,11.6,4.6,1.7,3.9,43.4,0.5,1.5,32.1,0.8,0.9,87.5,0.1,1,1.2,1.4,0.5,0.3,0.1,0.7,8.8,0,0,-0.7,100.6,104.5,-4,19.3,2.6,22.5,1.1,9.4,5.1,8.7,49.7,54.1,17.7,100.13,9.9,896
Yuta Watanabe,2019,MEM,0,25,5,2,3,3.8,1.4,0.6,1.2,50,0.2,0.4,50,0,0,0,0.2,0.8,1,0,0.2,0,0.2,0.2,3,0,0,2.6,109.3,81,28.3,0,0,0,7.1,17.4,13.5,14.3,58.3,58.3,14.9,106.7,10.4,43
Zach Collins,2019,POR,0,22,3,2,1,28.8,9,3,6.3,47.4,1,2.3,42.9,2,2,100,1.3,2.7,4,2,2,0,0.7,3.7,16.8,0,0,6.3,116.3,103.2,13.1,8.3,1,17.6,5.6,8.2,7.1,17.6,55.3,62.4,13.9,103.61,5.1,184
Zach LaVine,2019,CHI,0,25,50,19,31,34.4,25.1,8.7,19.8,44,3.1,8.1,38,4.7,5.6,83,0.7,4.2,4.9,4,3.2,1.4,0.5,2.2,39.3,2,0,-1.5,106.7,108.7,-2,20.7,1.25,13.6,1.9,12.5,7,10.9,51.7,56.5,31.2,100.49,13.1,"3,602"
Zach Norvell Jr.,2019,GSW,0,22,2,2,0,2.4,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-2,75,118.2,-43.2,0,0,0,0,25,11.1,0,0,0,7.7,113.81,0,12
Zhaire Smith,2019,PHI,0,21,3,2,1,7.1,1.3,0.3,2,16.7,0,0.7,0,0.7,1.3,50,0,0.7,0.7,0.7,0.3,0.7,0,0.7,4.8,0,0,-2.7,97.9,110,-12.1,12.5,2,18.2,0,10.5,4.7,9.1,16.7,25.8,16.1,109.82,0,48
Zion Williamson,2019,NOP,0,19,4,2,2,24.1,18,7.8,12.3,63.3,1,1.5,66.7,1.5,4.3,35.3,3,5.3,8.3,1.5,2.5,0.5,0.3,1.8,29.9,1,0,6.5,111.9,100.5,11.4,10,0.6,8.3,12.4,18.8,15.8,13.9,67.3,63.7,27.4,104.23,16,210
Zylan Cheatham,2019,NOP,0,24,3,2,1,10.2,1.3,0.7,1.7,40,0,0.3,0,0,0,0,0.3,1.7,2,0.7,1,0,0.3,1.7,4.7,0,0,-10,74.6,118.5,-43.9,13.3,0.67,20,3.1,15.2,9.2,30,40,40,11.4,100.14,0.9,63
Aaron Gordon,2020,ORL,0,25,19,8,11,29.1,13.8,4.8,11.2,42.7,1.6,4.4,36.9,2.6,4.2,61.3,1.7,5.5,7.2,4.2,2.8,0.7,0.8,2,30.7,3,1,-2.1,104.9,109.5,-4.6,22.5,1.51,20.8,5.5,19.4,12,13.8,50,52.8,23,100.34,10.8,"1,160"
Aaron Holiday,2020,IND,0,24,29,15,14,19.9,7.4,2.8,7.6,37,1.1,3.2,33.3,0.8,1,75.9,0.2,1.1,1.3,1.8,0.8,0.5,0.1,1.7,12.8,1,0,0.4,111.6,111.2,0.3,12.2,2.3,17.2,1,5.5,3.3,7.4,44.1,46.4,18.6,102.8,4.1,"1,238"
Aaron Nesmith,2020,BOS,0,21,16,8,8,16.2,3.9,1.3,3.4,36.4,0.9,2.7,32.6,0.5,0.6,80,0.6,2,2.6,0.4,0.6,0.1,0.3,2.1,8.3,0,0,0.9,108.4,106.2,2.2,3.5,0.7,9.2,3.4,12,7.7,13.2,49.1,52.2,11,101.61,3,550
Abdel Nader,2020,PHX,0,27,15,9,6,12.7,6,2.2,4.4,50,0.7,1.7,38.5,0.9,1.2,77.8,0,2.1,2.1,0.9,0.6,0.3,0.1,1.1,10.7,0,0,0.9,106.7,101.5,5.2,10.9,1.56,14.4,0,15.6,8,9.3,57.6,60.9,18.8,103.48,10.1,406
Adam Mokoka,2020,CHI,0,22,7,1,6,6.1,1.6,0.7,2,35.7,0.1,1.1,12.5,0,0,0,0.1,0.4,0.6,0.6,0.3,0.3,0.1,0.7,4.1,0,0,-1.6,83,94.7,-11.7,18.2,2,20,2.1,7.9,4.7,10,39.3,39.3,15.2,106.5,4,94
Al Horford,2020,OKC,0,34,21,9,12,28.3,14.5,5.9,13,45.1,2.1,5.6,38.1,0.7,0.9,77.8,0.8,6.1,6.9,3.5,1.2,1,0.8,1.7,32.1,1,0,-1.3,104.3,107.2,-2.9,20.4,2.96,19.6,2.5,20.3,11.4,6.6,53.3,54.3,22.3,100.93,13.3,"1,252"
Al-Farouq Aminu,2020,ORL,0,30,5,3,2,13.9,3.4,1.2,2.4,50,0.4,1,40,0.6,1,60,0.4,3.2,3.6,1.4,1.2,1,0.6,0.6,13.4,0,0,-2,94.1,100.7,-6.5,14.6,1.17,26.9,2.6,21.9,12,23.1,58.3,59.9,11.3,105.32,10.4,153
Alec Burks,2020,NYK,0,29,20,9,11,25.1,11,3.5,9,39.1,2,4.9,40.2,2.1,2.5,83.7,0.6,4.2,4.7,2,1.1,0.8,0.3,1.8,21.5,0,0,3.8,110.1,102.6,7.5,11.8,1.86,15.1,2.1,14.8,8.6,8.1,50,54.8,18.8,98.61,10.3,"1,032"
Aleksej Pokusevski,2020,OKC,0,19,17,7,10,17.4,3.3,1.4,5.5,24.7,0.6,3.3,17.9,0,0,0,0.3,3.2,3.5,1.2,1.3,0.5,1.1,0.9,12.9,0,0,-4.6,93,105.8,-12.8,10,0.95,15.4,1.5,15.3,8.6,16.2,30.1,30.1,15.8,106.12,3.9,657
Alex Caruso,2020,LAL,0,27,25,16,9,19.6,5.4,2,4.6,43.5,0.9,2.3,40.4,0.5,0.6,85.7,0.6,2,2.5,2.4,1.2,1.1,0.2,1.7,14.7,0,0,4,111.7,101.3,10.5,16.2,2,28.4,2.8,9.6,6.3,14.2,53.5,55.7,12.9,100.69,7.8,"1,022"
Alex Len,2020,WAS,0,27,22,8,14,13.7,5.5,2.1,3.4,62.7,0.3,0.9,31.6,0.9,1.5,58.8,0.6,2.5,3.1,1,1.1,0.4,1.1,1.8,14.1,0,0,-2.8,103.2,113,-9.8,10.5,0.88,15.4,4.4,18.1,11.1,17.6,66.7,66.7,15.8,104.54,9.5,659
Alfonzo McKinnie,2020,LAL,0,28,15,11,4,3.3,1.9,0.7,1.1,64.7,0.3,0.4,66.7,0.1,0.3,50,0.4,0.7,1.1,0.1,0.1,0.1,0,0.3,3.4,0,0,0.1,97.3,99.1,-1.8,3.7,1,4.8,11.1,15.6,13.6,4.8,76.5,74.6,16.5,106.83,17.2,110
Amir Coffey,2020,LAC,0,23,20,14,6,7.7,2.8,1.1,2,52.5,0.6,1.1,52.4,0.2,0.5,33.3,0.2,0.6,0.8,0.4,0.4,0.2,0,0.6,4.5,0,0,-1.6,93.7,100,-6.3,9.1,1,13.3,1.9,6.8,4.5,13.3,66.3,63.7,14.5,100.57,7.3,316
Andre Drummond,2020,CLE,0,27,25,9,16,28.9,17.5,7.2,15.2,47.4,0,0.3,0,3.1,5.2,59.7,4,9.4,13.5,2.6,3.2,1.6,1.2,2.8,42.5,18,0,-4.3,105.3,113.2,-7.8,15.1,0.79,11,13.8,35.9,24.3,14,47.4,50,30.3,98.19,15.3,"1,480"
Andre Iguodala,2020,MIA,0,37,29,14,15,21.5,4.4,1.6,4.2,37.7,1,3.2,32.3,0.2,0.4,45.5,0.5,3.1,3.6,2.3,1.1,1.1,0.5,1.5,15.7,0,0,-3.4,100.2,106.5,-6.3,16,2.09,29.8,2.3,13.7,8.2,14.2,50,50.1,10.9,100.13,7.5,"1,292"
Andre Roberson,2020,BKN,0,29,2,2,0,10.8,0,0,1.5,0,0,1,0,0,0,0,0.5,2,2.5,1,0.5,0.5,0.5,0.5,7,0,0,-7.5,100,129.8,-29.8,13.3,2,33.3,4.5,25,13.2,16.7,0,0,8.3,102.93,2.8,46
Andrew Wiggins,2020,GSW,0,26,32,17,15,32.4,17.6,6.8,14.4,47,1.9,5.2,36.1,2.3,3.4,66.7,1,3.7,4.8,2.1,1.9,0.7,1.2,2.3,30.5,0,0,0.6,107.6,106.8,0.8,10.3,1.13,10.7,3,10.3,6.8,9.5,53.5,55.6,22.8,104.03,9.3,"2,249"
Anfernee Simons,2020,POR,0,21,28,16,12,17.9,8.7,2.9,7.4,39.3,2.1,5.3,40.8,0.8,0.9,84.6,0.2,2.3,2.5,1.2,0.8,0.2,0.2,1.8,13.9,0,0,-4.4,107.4,119.5,-12.1,10.9,1.48,12.4,1.1,12.4,6.5,8.4,53.9,56.1,20.2,99.82,7.6,"1,047"
Anthony Davis,2020,LAL,1,28,23,17,6,32.8,22.5,8.9,16.7,53.3,0.7,2.5,29.3,4,5.7,71.5,2,6.3,8.4,3,2,1.3,1.8,1.8,44.6,8,0,5.9,115.3,106.2,9.1,14.6,1.56,12.7,6.5,19.3,13,8.2,55.5,58.8,27.4,99.46,16.3,"1,561"
Anthony Edwards,2020,MIN,0,19,32,7,25,28.4,14.1,5.2,14.1,37.1,1.8,5.8,31.6,1.8,2.3,79.5,0.6,3.2,3.7,2.5,1.7,0.7,0.4,1.4,24,0,0,-5.2,105.2,113.3,-8,13.4,1.48,13,1.8,11.1,6.2,8.8,43.7,46.8,24.3,102.78,7.2,"1,945"
Anthony Gill,2020,WAS,0,28,10,2,8,6.5,1,0.3,1,30,0.1,0.7,14.3,0.3,0.4,75,0.3,1.6,1.9,0.3,0.3,0.3,0.2,0.3,4.9,0,0,-3.1,84.2,105.7,-21.5,8.6,1,16.7,4.3,21.9,13.3,16.7,35,42.5,9.7,102.77,9.3,139
Anzejs Pasecniks,2020,WAS,0,25,1,1,0,6.3,0,0,1,0,0,1,0,0,0,0,1,0,1,1,5,0,0,2,-2.3,0,0,-13,57.1,161.5,-104.4,33.3,0.2,14.3,14.3,0,8.3,71.4,0,0,37.5,102.59,-26,14
Aron Baynes,2020,TOR,0,34,29,15,14,19.4,5.7,2.4,5.9,41.5,0.4,2.1,21,0.4,0.6,68.8,1.5,3.9,5.4,1,0.9,0.3,0.3,2.6,14.6,0,0,-1.3,108,111.4,-3.3,7.3,1.07,12.4,7.5,20.4,13.7,11.5,45.3,46.6,15.6,99.77,5.8,"1,172"
Ashton Hagans,2020,MIN,0,21,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-0.5,0,0,-1.5,60,81.8,-21.8,0,0,0,0,0,0,100,0,0,8.3,123.93,-25,10
Austin Rivers,2020,NYK,0,28,21,10,11,21.1,7.3,2.8,6.4,43,1.3,3.7,36.4,0.5,0.7,71.4,0.2,2,2.2,2,1,0.6,0,1.5,13.7,0,0,-2.1,105.6,110.7,-5.1,14.5,1.91,20.4,1.1,9.3,5.1,10.7,53.3,54.5,16.2,96.46,7.1,889
Avery Bradley,2020,MIA,0,30,10,4,6,21.1,8.5,3.1,6.6,47,1.6,3.8,42.1,0.7,0.9,77.8,0.2,1.6,1.8,1.4,0.9,0.7,0.1,2.6,14.3,0,0,-1.4,104.2,106.6,-2.4,10.4,1.56,15.1,1,6.8,4.2,9.7,59.1,60.7,16.2,102.6,6.2,449
Bam Adebayo,2020,MIA,0,23,29,14,15,33.9,19.6,7.3,12.9,57,0.1,0.2,33.3,4.9,5.8,84.4,2,7.4,9.5,5.5,3,0.9,1,2.5,42,17,1,-0.7,107.1,108.1,-1,28.1,1.82,23.1,6.3,21.2,14.1,12.7,57.2,63.6,24,98.86,17,"2,023"
Ben McLemore,2020,HOU,0,28,21,8,13,15,6,2,5.7,35.8,1.3,4.2,31.8,0.6,0.9,72.2,0.3,1.8,2.1,1,1,0.6,0,1.2,10.9,0,0,-2,100.7,105.6,-4.9,9.2,0.95,12,1.9,10.9,6.4,12.6,47.5,49.6,18.8,107.62,5.8,701
Ben Simmons,2020,PHI,1,24,27,19,8,33.7,15.7,5.9,10.4,56.7,0,0.2,16.7,3.8,5.6,67.8,1.8,6.6,8.3,7.9,3.3,1.6,0.8,3.2,41.4,11,3,4.5,115.3,109.5,5.8,33.6,2.42,32.7,5.6,18.5,12.4,13.5,56.9,60.8,20.1,102.86,14,"1,951"
Bismack Biyombo,2020,CHA,0,28,28,12,16,22.1,5.8,2.5,4.4,57.4,0,0,0,0.8,1.7,44.7,2.1,3.5,5.5,1.4,0.9,0.3,1.1,2.5,17.7,1,0,-3.4,102.4,109.3,-6.9,9.1,1.5,18.9,8.5,15,11.7,12.6,57.4,56.4,11.4,100.31,7,"1,292"
Blake Griffin,2020,BKN,0,32,20,6,14,31.3,12.3,4.1,11.1,36.5,2,6.2,31.5,2.2,3.1,71,0.4,4.9,5.2,3.9,1.6,0.7,0.1,2.1,25.1,1,0,-3.6,105.8,111.6,-5.9,19.3,2.41,21.6,1,16.5,8.2,9,45.3,49.1,19.5,96.86,8.4,"1,265"
Boban Marjanovic,2020,DAL,0,32,16,5,11,7.6,4.7,2.1,3.8,54.1,0,0.2,0,0.6,0.8,69.2,1.4,2.2,3.6,0.1,0.3,0,0,0.8,9,1,0,1.6,111.4,99.2,12.2,2.6,0.5,2.8,17.2,27.6,22.2,5.6,54.1,56.2,23.8,101.73,15.3,254
Bobby Portis,2020,MIL,0,26,32,19,13,21.6,11.3,4.8,8.8,54.4,1.1,2.2,50,0.6,0.9,65.5,2,5.3,7.3,1.1,0.8,0.8,0.4,1.9,24.7,4,0,4.1,115,105.6,9.4,7.5,1.5,10.2,8.5,23.1,15.8,6.8,60.7,61.3,18.5,104.09,13.4,"1,496"
Bogdan Bogdanovic,2020,ATL,0,28,9,4,5,23.7,9.9,3.3,8.7,38.5,2.3,6.4,36.2,0.9,1,88.9,0.2,3.6,3.8,2.1,1.2,0.4,0.1,2,18,0,0,-2.1,103.6,109.1,-5.5,14.1,1.73,17,0.9,13,7.1,9.8,51.9,54.3,17.6,104.83,8.2,468
Bojan Bogdanovic,2020,UTA,0,31,31,25,6,30.7,15.3,5.1,11.9,42.7,2.5,6.5,39,2.6,3.1,84.4,0.5,3.4,3.9,2.1,1.6,0.4,0.1,1.6,23,0,0,7.1,118.2,106.6,11.6,9.8,1.3,12.3,1.6,10,6.1,9.5,53.2,57.6,20.8,99.52,8.6,"1,968"
Bol Bol,2020,DEN,0,21,13,8,5,5.9,1.7,0.7,1.4,50,0.2,0.5,42.9,0.1,0.2,50,0,0.7,0.7,0.2,0.5,0.2,0.3,0.6,3.8,0,0,-3.5,98.3,125.9,-27.6,5.3,0.5,10.7,0,12.9,6.3,21.4,58.3,58.3,13.4,109.15,3.7,176
Brad Wanamaker,2020,GSW,0,31,32,17,15,16.3,4.7,1.5,4.3,35,0.4,1.6,23.1,1.3,1.5,87.5,0.3,1.6,1.8,2.7,0.9,0.8,0.2,1.4,12.9,0,0,0.3,105.9,105.3,0.6,22.8,2.93,31.5,1.4,9.4,5.3,10.7,39.4,47.4,15.3,100.33,7.5,"1,094"
Bradley Beal,2020,WAS,1,27,27,11,16,35.7,32.7,11.6,24.1,48,2.4,7.3,33.2,7.1,8,88.9,1.4,3.9,5.3,4.9,3.3,1.4,0.4,2.5,48.5,3,0,-3.3,113.1,118,-5,23.6,1.49,13.7,3.8,10.5,7.1,9.2,53,59.1,34.9,104.61,15.5,"2,110"
Brandon Clarke,2020,MEM,0,24,22,12,10,27.4,12.8,5.4,10.8,50.2,0.6,1.8,32.5,1.4,2.1,67.4,1.6,4,5.5,1.7,0.6,1.1,0.7,1.7,27,1,0,-4,105,110.7,-5.7,9.5,2.71,12.5,5.4,14.7,9.8,4.6,53,54.8,18.6,100.96,10.7,"1,262"
Brandon Goodwin,2020,ATL,0,25,23,9,14,12.4,4.2,1.4,4.5,32,0.6,2.3,26.9,0.7,1,70.8,0.1,1,1.2,1.9,0.5,0.4,0,1,9.2,0,0,-0.4,102.5,103.7,-1.2,24.6,3.58,25.3,0.9,8.3,4.4,7.1,38.8,42.7,18.4,100.13,6.1,594
Brandon Ingram,2020,NOP,0,23,30,13,17,35,23.9,8.3,17.8,46.9,2.5,6.4,39.4,4.7,5.4,88.2,0.6,4.7,5.3,4.7,2.4,0.7,0.9,1.8,39.5,4,0,-0.7,115.3,116.4,-1.1,21.2,1.96,17.4,1.7,13.4,7.5,8.9,54,59.5,27.1,98.42,13.4,"2,152"
Brian Bowen II,2020,IND,0,22,1,0,1,5.1,3,1,2,50,0,0,0,1,1,100,0,1,1,0,0,0,0,0,4.2,0,0,-7,50,100,-50,0,0,0,0,14.3,6.7,0,50,61.5,15.4,117.65,24,12
Brodric Thomas,2020,CLE,0,24,4,1,3,6,2.5,0.5,1.8,28.6,0.3,1.5,16.7,1.3,1.8,71.4,0.3,0.8,1,1,1,0.3,0.3,1.3,5.7,0,0,2.5,98.1,76.4,21.7,26.7,1,22.2,4.2,8.8,6.9,22.2,35.7,49.6,22.6,107.3,6.1,53
Brook Lopez,2020,MIL,0,32,32,19,13,26.8,10.7,3.9,8.3,46.4,1.6,4.4,35.7,1.3,1.6,82.7,1.4,3.7,5.1,0.6,0.9,0.5,1.3,2,22.3,1,0,4.3,118.1,110.7,7.4,2.7,0.68,5.7,5.3,12.4,9,8.3,55.8,58.8,15.4,102.9,7.4,"1,840"
Bruce Brown,2020,BKN,0,24,29,20,9,19.9,7.5,3.1,5.4,57.6,0.2,0.9,23.1,1,1.4,70.7,1.4,3,4.5,1.1,0.8,0.7,0.3,2,16.9,1,0,-0.1,114.7,113.8,0.9,7.8,1.39,13.9,8,14.6,11.5,10,59.5,61.6,15,100.8,8.9,"1,207"
Bruno Caboclo,2020,HOU,0,25,6,1,5,6.1,2.8,1.3,2.8,47.1,0,0.8,0,0.2,0.3,50,0.5,1.8,2.3,0.2,0.7,0,0.3,1,6.2,0,0,0,96.3,94,2.3,4.8,0.25,4.3,6.4,26.8,15.9,17.4,47.1,47.5,23.2,108.03,11.3,81
Bruno Fernando,2020,ATL,0,22,16,8,8,8.9,1.8,0.6,1.4,43.5,0,0.1,0,0.6,0.9,60,0.8,2.8,3.5,0.6,0.8,0.1,0.1,1,6.9,0,0,0.3,104.2,104.6,-0.4,9.4,0.75,17.6,7.5,28.4,17.8,23.5,43.5,49,11.9,103.83,7.9,311
Bryn Forbes,2020,MIL,0,27,32,19,13,19.1,10,3.6,7.5,48.1,2.2,4.6,46.9,0.6,0.8,72,0.2,1.2,1.4,0.6,0.6,0.3,0,1.2,12.7,0,0,1.3,116.1,112.9,3.3,4.4,1.05,6.9,1.1,5.6,3.4,6.6,62.4,63.3,18.1,102.89,7.2,"1,313"
Buddy Hield,2020,SAC,0,28,31,12,19,34.4,15.7,5.2,14,37.2,3.7,10.2,36.4,1.5,1.8,87.3,0.3,4.3,4.6,3,1.9,0.9,0.4,2.6,27.6,1,0,-3.7,112.2,117.7,-5.5,11.9,1.62,15.5,0.9,12.3,6.6,9.6,50.5,53,20,101.99,7,"2,273"
CJ Elleby,2020,POR,0,20,13,8,5,8.1,3,1.1,2.4,45.2,0.4,1.5,26.3,0.5,0.7,66.7,0.3,0.8,1.1,0.2,0.2,0.3,0.2,1.4,6,0,0,-0.8,103.4,109.6,-6.1,4.3,1,7.3,3.4,7.9,5.7,7.3,53.2,55.8,14.5,106.17,4.6,233
CJ McCollum,2020,POR,0,29,13,8,5,33.8,26.7,9.5,20,47.3,4.8,11,44.1,2.9,3.5,84.4,0.5,3.4,3.9,5,1,1.3,0.3,2.2,42.7,2,0,4.3,117.3,111.5,5.8,25,5,18.3,1.5,10.3,5.7,3.7,59.4,62,27.9,101.35,15,930
Caleb Martin,2020,CHA,0,25,23,11,12,15.8,5.6,2.2,5.2,42,0.7,2.2,30,0.6,1.1,56,0.8,2,2.8,1.3,0.7,0.9,0.3,1.1,13.7,0,0,-1.7,103.5,108.2,-4.7,12.6,1.81,16.6,4.8,11.6,8.2,9.1,48.3,49.6,16.8,101.8,7.9,767
Cam Reddish,2020,ATL,0,21,26,10,16,28.9,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,0.8,3.2,4,1.3,1.3,1.3,0.3,2.6,21.6,0,0,-1.9,110.9,114.9,-4,6.6,1.03,9.4,2.8,10.9,6.8,9.2,42.8,48.8,18.3,102.8,5.3,"1,614"
Cameron Johnson,2020,PHX,0,25,30,20,10,24.6,10.6,3.7,8.5,43.8,2.2,5.8,37.4,1,1.1,85.3,0.6,2.9,3.6,1.4,0.7,0.7,0.3,1.4,19.2,0,0,5.5,112.4,101.5,10.8,7.8,1.86,12.4,2.6,12,7.3,6.6,56.4,58.7,17,99.69,9.2,"1,530"
Cameron Payne,2020,PHX,0,26,19,12,7,17.6,7.3,2.7,5.7,47.7,1.2,2.7,43.1,0.6,0.7,92.3,0.1,1.7,1.8,3.6,1.2,0.5,0.2,1.8,16,0,0,4.8,116,103.2,12.8,28.5,3.14,33.5,0.7,10.1,5.5,10.7,57.8,60.1,18,99.37,10.2,694
Caris LeVert,2020,IND,0,26,12,6,6,27.8,18.5,7.3,16.7,43.5,1.8,5.3,34.9,2.2,2.8,76.5,0.8,3.5,4.3,6,2.2,1.1,0.5,1.7,35.3,2,0,3.8,113.4,107.7,5.7,35.5,2.77,23.1,3.1,10.7,7.3,8.3,49,51.6,29.5,105.37,13.6,734
Carmelo Anthony,2020,POR,0,36,30,17,13,25.4,13.3,4.7,11.7,39.8,1.7,4.5,37.8,2.3,2.7,84,0.6,2.9,3.5,1.3,1,0.8,0.7,2.2,23.1,0,0,-2.8,110.3,115.1,-4.7,8.2,1.27,8.3,2.1,11,6.3,6.6,47,51.5,23,100.16,8.1,"1,587"
Carsen Edwards,2020,BOS,0,23,13,6,7,10.3,5,1.8,4.2,43.6,0.8,2.3,33.3,0.5,0.7,77.8,0.2,0.8,1,0.4,0.2,0.3,0.1,1.2,7.8,0,0,-1.8,108.6,116.4,-7.8,5.6,2.5,7.7,1.4,8.8,4.8,3.1,52.7,55.1,18.6,100.14,6.4,280
Cassius Stanley,2020,IND,0,21,8,5,3,2.9,1.1,0.3,0.9,28.6,0.1,0.3,50,0.5,0.6,80,0.3,0.1,0.4,0,0.1,0,0.3,0.9,2.2,0,0,-0.3,85.2,88.9,-3.7,0,0,0,7.4,3.8,5.7,10,35.7,48.9,16.4,111.42,-3,54
Cassius Winston,2020,WAS,0,23,6,1,5,7.3,2.2,0.7,1.7,40,0.5,1.2,42.9,0.3,0.3,100,0,0.7,0.7,1,0.2,0,0.2,0.7,4.8,0,0,-3.8,93.3,113.8,-20.5,24,6,33.3,0,7.7,4,5.6,55,59.7,12.4,100.85,7.2,90
Cedi Osman,2020,CLE,0,25,32,11,21,26.4,11.3,4,10.7,37.7,2.1,6.2,33.3,1.2,1.5,78.7,0.8,2.7,3.5,2.8,1.1,0.9,0.1,2.1,21.5,1,0,-6,102.4,114.4,-12,15.5,2.59,18.3,2.6,10.8,6.5,7.1,47.4,49.8,19.6,99.18,7.6,"1,757"
Chandler Hutchison,2020,CHI,0,24,7,2,5,9.1,1.9,0.7,2.6,27.8,0.1,0.4,33.3,0.3,0.3,100,0.1,2.7,2.9,0.6,0.7,0.1,0,1.3,5.9,0,0,1.6,107.6,101.4,6.2,8.2,0.8,14.3,1.6,25,14.6,17.9,30.6,34.4,15,108.71,4.2,145
Chasson Randle,2020,ORL,0,28,4,3,1,18,4.5,1.5,3.3,46.2,0.5,1.8,28.6,1,1.3,80,0.3,2,2.3,2.3,1,0,0.3,2.8,10.3,0,0,-6.8,89.2,106.4,-17.2,19.1,2.25,32.1,1.2,9.3,5.3,14.3,53.8,59.2,11.1,104.72,4.6,157
Chimezie Metu,2020,SAC,0,23,11,4,7,6.5,3.4,1.4,2.7,50,0.1,0.3,33.3,0.5,0.8,66.7,1,1.1,2.1,0.5,0.5,0.3,0.5,0.9,8.5,0,0,-1.7,104.5,119,-14.5,10.6,0.83,11.1,13.3,17.6,15.2,13.3,51.7,54.5,22.1,103.78,9.4,156
Chris Boucher,2020,TOR,0,28,32,16,16,23.3,13.3,4.7,8.8,53.2,1.7,3.6,45.7,2.2,2.9,75.5,1.9,4.5,6.5,1,0.7,0.5,2,2.8,29.4,7,0,3.5,114.7,107.1,7.7,6.9,1.5,8.7,8.2,18.2,13.3,5.8,62.6,65.6,19.6,100.79,13.5,"1,562"
Chris Chiozza,2020,BKN,0,25,12,6,6,9.3,3.2,1,3.4,29.3,0.4,1.5,27.8,0.8,0.9,81.8,0.3,0.7,0.9,2.3,0.7,0.3,0.3,0.7,8.9,0,0,-2.6,102.6,114,-11.4,35.9,3.5,34.1,2.5,8.2,5,9.8,35.4,41.4,20.6,101.14,7,232
Chris Paul,2020,PHX,1,35,29,19,10,31.8,16.6,6.3,13,48.5,1.6,3.9,39.5,2.4,2.4,97.2,0.5,4,4.5,8.5,2.3,1.2,0.3,2.6,36.9,8,0,3.8,113.7,107.7,6,40,3.74,34.3,1.7,12.3,7.2,9.2,54.5,58.8,22.6,98.26,14.6,"1,884"
